marca;modelo;pais;year_modelo;clase;sub_clase;avaluo;cilindraje;tipo_combustible
20;744;10;2018;1;5;0.29796941589370773;2999;0
116;2463;17;2018;0;19;0.25785911255953875;1586;3
20;765;10;2018;1;0;0.2726999247931813;2499;0
20;2416;10;2018;0;18;0.19267986964151418;1485;3
116;1296;10;2018;2;15;0.27791426422662324;1995;3
20;2562;8;2018;0;19;0.15758335422411632;1206;3
48;1403;7;2018;2;15;0.29796941589370773;1497;3
48;3023;7;2018;0;18;0.16761093005765856;1497;3
20;2418;10;2018;0;18;0.21774880922536977;1485;3
20;269;10;2018;0;18;0.16259714214088744;1498;3
20;2417;10;2018;0;18;0.18185008774128855;1485;3
20;745;10;2018;1;5;0.37217347706192033;2999;0
116;1302;10;2018;2;15;0.29796941589370773;2400;3
76;2542;9;2017;2;15;0.4985209325645526;3342;3
20;2568;8;2018;0;19;0.1325144146402607;995;3
20;2830;22;2018;0;19;0.3039859613938331;1796;3
20;757;10;2018;1;5;0.39824517422913014;2999;0
125;1545;22;2017;0;18;0.2980596640762096;2000;3
125;1544;22;2017;0;18;0.29395838556029086;2000;3
125;2130;18;2018;0;18;0.19769365755828527;1600;3
125;2125;18;2018;0;19;0.19769365755828527;1600;3
48;1736;10;2018;2;15;0.19769365755828527;1497;3
48;3050;10;2018;1;5;0.26487841564301834;2771;0
48;3046;10;2018;1;5;0.24482326397593382;2378;3
20;1883;7;2018;1;11;0.17061920280772122;1206;3
20;2830;22;2017;0;19;0.3340686888944598;1796;3
27;417;7;2018;1;11;0.18766608172474306;1499;3
20;754;10;2018;1;5;0.40556530458761597;2999;0
48;1401;7;2018;2;15;0.2879418400601655;1497;3
119;1476;32;2018;1;5;0.29796941589370773;2694;3
48;3021;7;2018;0;18;0.17964402105790925;1497;3
48;1733;10;2018;2;15;0.21774880922536977;1497;3
76;2087;9;2018;0;18;0.15758335422411632;1248;3
20;2839;4;2018;2;15;0.5987966908999749;2776;0
19;2135;7;2018;1;11;0.16761093005765856;1173;3
19;167;7;2018;2;15;0.1776385058912008;1497;3
132;3282;7;2018;0;19;0.10744547505640513;997;3
125;226;10;2017;1;5;0.39824517422913014;1968;0
54;196;9;2018;0;18;0.19267986964151418;1400;3
54;1523;9;2018;0;13;0.24783153672599648;1600;6
54;1525;9;2018;0;13;0.25785911255953875;1600;6
48;1322;7;2018;2;15;0.267886688393081;1497;3
41;2256;1;2017;1;5;0.4985209325645526;3200;0
48;1371;7;2018;2;15;0.23780396089245426;1997;3
41;2255;1;2018;1;5;0.37819002256204565;2500;3
14;2537;7;2018;2;15;0.29796941589370773;1500;3
