marca;modelo;pais;year_modelo;clase;sub_clase;avaluo;cilindraje;tipo_combustible
CHEVROLET;D-MAX CRDI 3.0 CD 4X2 TM DIESEL;ECUADOR;2018;CAMIONETA;DOBLE CABINA;29990.0;2999;DIESEL
SUZUKI;SCROSS AC 1.6 5P 4X2 TM;HUNGRIA;2018;AUTOMOVIL;STATION WAGON;25990.0;1586;GASOLINA
CHEVROLET;D-MAX TD 2.5 CS 4X2 TM DIESEL;ECUADOR;2018;CAMIONETA;CABINA SIMPLE;27470.0;2499;DIESEL
CHEVROLET;SAIL LS AC 1.5 4P 4X2 TM;ECUADOR;2018;AUTOMOVIL;SEDAN;19490.0;1485;GASOLINA
SUZUKI;GRAND VITARA SZ AC 2.0 5P 4X2 TM;ECUADOR;2018;JEEP;JEEP;27990.0;1995;GASOLINA
CHEVROLET;SPARK GT FULL AC 1.2 5P 4X2 TM;COLOMBIA;2018;AUTOMOVIL;STATION WAGON;15990.0;1206;GASOLINA
GREAT WALL;HAVAL H6 AC 1.5 5P 4X2 TM;CHINA POPULAR;2018;JEEP;JEEP;29990.0;1497;GASOLINA
GREAT WALL;VOLEEX C30 CONFORT AC 1.5 4P 4X2 TM;CHINA POPULAR;2018;AUTOMOVIL;SEDAN;16990.0;1497;GASOLINA
CHEVROLET;SAIL LT AC 1.5 4P 4X2 TM;ECUADOR;2018;AUTOMOVIL;SEDAN;21990.0;1485;GASOLINA
CHEVROLET;AVEO FAMILY STD 1.5 4P 4X2 TM;ECUADOR;2018;AUTOMOVIL;SEDAN;16490.0;1498;GASOLINA
CHEVROLET;SAIL LS STD 1.5 4P 4X2 TM;ECUADOR;2018;AUTOMOVIL;SEDAN;18410.0;1485;GASOLINA
CHEVROLET;D-MAX CRDI 3.0 CD 4X4 TM DIESEL;ECUADOR;2018;CAMIONETA;DOBLE CABINA;37390.0;2999;DIESEL
SUZUKI;GRAND VITARA SZ NEXT SPORT AC 2.4 5P 4X2 TA;ECUADOR;2018;JEEP;JEEP;29990.0;2400;GASOLINA
KIA;SORENTO AC 3.3 5P 4X2 TA;COREA DEL SUR;2017;JEEP;JEEP;49990.0;3342;GASOLINA
CHEVROLET;SPARK LIFE STD 1.0 5P 4X2 TM;COLOMBIA;2018;AUTOMOVIL;STATION WAGON;13490.0;995;GASOLINA
CHEVROLET;TRACKER LS AC 1.8 5P 4X2 TM;MEXICO;2018;AUTOMOVIL;STATION WAGON;30590.0;1796;GASOLINA
