Marca,Modelo,Precio,Provincia,Año,Kilometraje,Transmisión,Dirección,Motor,Tracción,Color,Combustible,Enlace
TOYOTA,COROLLA CROSS HIGH,28900.0,PICHINCHA,2023.0,36000.0,AUTOMATICA,ELECTRONICA,1800.0,4x2,PLOMO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1882916
KIA,NIRO,26400.0,PICHINCHA,2023.0,19000.0,TIPTRONIC,ELECTRONICA,1600.0,4x2,BLANCO,HIBRIDO,https://www.autoconfianza.com.ec/vehiculo/1882915
VOLKSWAGEN,T-CROSS TRENDLINE,20900.0,PICHINCHA,2021.0,28000.0,MANUAL,ELECTRONICA,1600.0,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882914
RENAULT,STEPWAY INTENS FASE,14900.0,PICHINCHA,2021.0,36000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882913
HYUNDAI,TUCSON TL,22900.0,PICHINCHA,2019.0,42000.0,MANUAL,ELECTRONICA,2000.0,4x2,NEGRO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882912
NISSAN,VERSA,9900.0,PICHINCHA,2013.0,94000.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882700
HYUNDAI,TUCSON,9400.0,TUNGURAHUA,2007.0,153000.0,TIPTRONIC,HIDRAULICA,2000.0,4x2,CREMA,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882698
PEUGEOT,3008 GT-LINE,25400.0,PICHINCHA,2022.0,69000.0,TIPTRONIC,ELECTRONICA,1600.0,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882490
GREAT WALL,POER,24400.0,PICHINCHA,2023.0,28000.0,MANUAL,ELECTRONICA,2000.0,4x2,PLOMO,DIESEL,https://www.autoconfianza.com.ec/vehiculo/1882485
FORD,EDGE SEL,18400.0,PICHINCHA,2016.0,175000.0,TIPTRONIC,ELECTRONICA,3500.0,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882481
TOYOTA,FORTUNER,37400.0,PICHINCHA,2018.0,71000.0,TIPTRONIC,HIDRAULICA,2700.0,4x4,CAFE,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882433
CHEVROLET,AVEO EMOTION,8900.0,PICHINCHA,2009.0,167000.0,MANUAL,HIDRAULICA,1600.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882431
NISSAN,X-TRAIL XTREME,15900.0,PICHINCHA,2013.0,87000.0,TIPTRONIC,HIDRAULICA,2500.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882248
FORD,FOCUS,12800.0,PICHINCHA,2015.0,64000.0,AUTOMATICA,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882222
MAZDA,2,15900.0,PICHINCHA,2021.0,59000.0,MANUAL,ELECTRONICA,1500.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1882013
VOLKSWAGEN,VIRTUS,16900.0,PICHINCHA,2022.0,50000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881984
VOLKSWAGEN,POLO TRENDLINE,15900.0,PICHINCHA,2021.0,40000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,https://www.autoconfianza.com.ec/vehiculo/1881980
